fold,model,store_nbr,item_nbr,family,wmape,bias,sigma_error
1,seasonal_naive,2,100015,GROCERY I,0.9371196754563894,-14.4,33.841648051729734
1,seasonal_naive,2,100016,GROCERY I,1.373015873015873,1.6666666666666667,15.168890470144417
1,seasonal_naive,2,100017,GROCERY I,1.463768115942029,6.0,17.46424919657298
1,seasonal_naive,2,100018,GROCERY I,1.5833333333333333,-0.26666666666666666,4.742914514856672
1,seasonal_naive,2,100019,GROCERY I,0.8453038674033149,2.066666666666667,13.776100768394242
1,seasonal_naive,2,100020,BEVERAGES,0.9735099337748344,-4.066666666666666,13.413568113064082
1,seasonal_naive,2,100021,BEVERAGES,0.9571428571428572,-0.4666666666666667,5.841558826529912
1,seasonal_naive,2,100022,BEVERAGES,1.1317829457364341,-0.8,11.953481262197815
1,seasonal_naive,2,100023,BEVERAGES,1.3763440860215055,12.8,21.64717071582335
1,seasonal_naive,2,100024,BEVERAGES,1.7857142857142858,2.2666666666666666,4.350150517374028
1,seasonal_naive,2,100025,BEVERAGES,1.0,-0.6666666666666666,1.4474937289114915
1,seasonal_naive,2,100026,BEVERAGES,1.3555555555555556,-0.6,5.961783050636542
1,seasonal_naive,2,100027,BEVERAGES,1.5901639344262295,-1.0,10.433462649434409
1,seasonal_naive,2,100028,BEVERAGES,0.9194630872483222,2.066666666666667,12.775348285253274
1,seasonal_naive,2,100029,BEVERAGES,1.3611111111111112,-2.0,7.819389819088006
1,seasonal_naive,2,100030,BEVERAGES,1.6666666666666667,5.266666666666667,7.544786910430905
1,seasonal_naive,2,100031,BEVERAGES,0.7338403041825095,-7.0,16.33576269591178
1,seasonal_naive,2,100032,BEVERAGES,1.0895522388059702,-7.0,15.62964216755183
1,seasonal_naive,2,100033,PRODUCE,0.8007373190015104,-3.2093333333333334,16.277313606307867
1,seasonal_naive,2,100034,PRODUCE,0.8499518072289156,-1.6605333333333334,13.129192303884537
1,seasonal_naive,2,100035,PRODUCE,1.5,0.5333333333333333,4.373077809027587
1,seasonal_naive,2,100036,PRODUCE,0.8043359160992408,-6.6504,23.27775491383504
1,seasonal_naive,2,100037,PRODUCE,1.8552852014359795,0.024799999999999992,4.932974214406559
1,seasonal_naive,2,100038,PRODUCE,1.2946382300179389,7.0972,7.861616229685672
1,seasonal_naive,2,100039,PRODUCE,1.040355939385379,-3.413866666666667,8.36755080113194
1,seasonal_naive,2,100040,PRODUCE,1.957195651393922,2.3634,4.231000621264768
1,seasonal_naive,2,100041,CLEANING,1.5714285714285714,-0.06666666666666667,1.3870146083619754
